data_source,is_snapshot,total_postings,unique_companies,earliest_posting,latest_posting,distinct_months,postings_with_salary,median_salary,avg_salary,salary_p25,salary_p75,remote_postings,pct_remote,soc_matched_postings,soc_match_rate
kaggle_linkedin_large,true,1348454,90495,2024-01-12 00:00:00,2024-01-17 00:00:00,1,0,,,,,4259,0.0032,209087,0.1551
kaggle_linkedin,false,123849,24413,2024-03-24 21:50:14,2024-04-20 00:26:56,2,36033,82795,97215,52500,125000,15246,0.1231,25570,0.2065
adzuna,false,18198,4092,2026-03-13 22:20:43,2026-04-18 23:51:29,2,18176,127144,135187,95352,165078,533,0.0293,1447,0.0795
kaggle_ds,true,12217,3947,2024-01-12 00:00:00,2024-01-17 00:00:00,1,0,,,,,18,0.0015,965,0.079
