state,city,cbsa_fips
texas,austin,12420
california,san francisco,41860
california,san jose,41940
washington,seattle,42660
new york,new york,35620
massachusetts,boston,14460
virginia,washington,47900
colorado,denver,19740
california,los angeles,31080
illinois,chicago,16980
texas,dallas,19100
georgia,atlanta,12060
north carolina,raleigh,39580
minnesota,minneapolis,33460
arizona,phoenix,38060
